School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6702092,Newton Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Slade Road,Newton,Swansea,,SA3 4UE,01792 369826,227
6702095,Whitestone Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Off Rushwind Close,West Cross,Swansea,,SA3 5RF,01792 404113,157
6702096,Hendrefoilan Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dunvant Road,Dunvant,Swansea,,SA2 7LF,01792 290223,214
6702098,Y.G.G. Brynymor,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol St Alban,Brynmill,Abertawe,,SA2 0BP,01792 466354,282
6702105,Bishopston Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bishopston Road,Bishopston,Swansea,,SA3 3EN,01792 232754,264
6702108,Casllwchwr Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Castle Street,Loughor,Swansea,,SA4 6TU,01792 892420,222
6702109,Cila Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,577 Gower Road,Upper Killay,Swansea,,SA2 7DR,01792 202775,127
6702120,Crwys Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Chapel Road,Three Crosses,Swansea,,SA4 3PU,01792 872473,127
6702157,Llangyfelach Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pengors Road,Llangyfelach,Swansea,,SA5 7JE,01792 771497,249
6702159,Llanrhidian Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llanrhidian,Gower,Swansea,,SA3 1EH,01792 390181,162
6702167,Penclawdd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Road,Penclawdd,Swansea,,SA4 3FH,01792 850239,153
6702172,Pengelli Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Station Road,Grovesend,Swansea,,SA4 4GY,01792 892736,120
6702174,Penllergaer Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pontardulais Road,Penllergaer,Swansea,,SA4 9DB,01792 892354,383
6702176,Penyrheol Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Frampton Road,Gorseinon,Swansea,,SA4 4YG,01792 892337,270
6702186,Pontarddulais Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Upper James Street,Pontarddulais,Swansea,,SA4 8JD,01792 882383,441
6702189,Y.G.G. Bryniago,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Lower James Street,Pontarddulais,Swansea,,SA4 8JA,01792 882012,217
6702192,Pontlliw Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Clordir Road,Pontlliw,Pontarddulais,,SA4 9FA,01792 882553,231
6702211,Tre Uchaf Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Cae Ty Newydd,Loughor,Swansea,,SA4 6QB,01792 893682,222
6702212,Y.G.G. Pontybrenin,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Loughor Road,Gorseinon,Swansea,,SA4 6AU,01792 894210,593
6702215,Craigfelen Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Woodside Crescent,Clydach,Swansea,,SA6 5DP,01792 843278,192
6702216,Pennard Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pennard Road,Pennard,Swansea,,SA3 2AD,01792 233343,179
6702217,Knelston Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Reynoldston,Gower,Swansea,,SA3 1AR,01792 390071,114
6702219,Pen-Y-Fro,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Priors Crescent,Dunvant,Swansea,,SA2 7UF,01792 203728,226
6702223,Pontybrenin Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Glyn Rhosyn,Gorseinon,Swansea,,SA4 6HX,01792 891151,359
6702225,Talycopa Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Hafdy,Llansamlet,Swansea,,SA7 9RZ,01792 793660,208
6702226,Glyncollen Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Dolfain,Ynysforgan,Swansea,,SA6 6QF,01792 791727,204
6702229,Ysgol Gymraeg Y Login Fach,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Roseland Road,Waunarlwydd,Abertawe,,SA5 4ST,01792 874399,244
6702231,Y.G.G. Tirdeunaw,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Ddu,Treboeth,Abertawe,,SA5 7HW,01792 774612,415
6702232,Y.G.G. Gellionnen,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gellionnen Road,Clydach,Swansea,,SA6 5HE,01792 845489,278
6702233,Gors Community School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gors Avenue,Cockett,Swansea,,SA1 6SF,01792 522202,297
6702234,Sea View Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Creidiol Road,Mayhill,Swansea,,SA1 6TZ,01792 650703,242
6702235,Y.G.G. Llwynderw,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,West Cross Lane,West Cross,Swansea,,SA3 5LS,01792 407130,368
6702236,Birchgrove Primary,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Nant Bran,Birchgrove,Swansea,,SA7 9LH,01792 814814,426
6702237,Dunvant Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dunvant Road,Dunvant,Swansea,,SA2 7SN,01792 207336,352
6702238,Gwyrosydd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Park Hill Terrace,Treboeth,Swansea,,SA5 7DN,01792 797117,429
6702239,St Thomas Community Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Grenfell Park Road,St Thomas,Swansea,,SA1 8EZ,01792 650052,427
6702240,Gowerton Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mount Street,Gowerton,Swansea,,SA4 3GE,01792 872439,396
6702241,Pentre’r Graig Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Morriston,Swansea,,SA6 6HY,01792 771831,301
6702242,Ysgol Gymraeg Tan-y-lan,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Tan-y-lan Terrace,Morriston,Swansea,,SA6 7DU,01792 772800,192
6702243,Burlais Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gerddi Alexander,Cwmbwrla,Swansea,,SA5 8BN,01792 652350,548
6702244,Clydach Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Sybil Street,Clydach,Swansea,,SA6 5EU,01792 843356,239
6702245,Ysgol Gymraeg y Cwm,670,Swansea,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Jersey Road,Bonymaen,Swansea,,SA1 7DL,01792 650326,154
6702246,Gorseinon Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,High Street,Gorseinon,Swansea,,SA4 4BN,01792 892739,261
6702247,Brynhyfryd Primary School,670,Swansea,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llangyfelach Road,Brynhyfryd,Swansea,,SA5 9LN,01792 650192,457
6703303,St. David's Rc Primary School,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,West Cross Avenue,West Cross,Swansea,,SA3 5TS,01792 512212,142
6703305,St Illtyds Primary,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Jersey Road,Bonymaen,Swansea,,SA1 7DG,01792 462104,221
6703306,Christchurch Church In Wales,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Rodney Street,Swansea,,,SA1 3UA,01792 510900,158
6703308,St Joseph's R.C. Primary,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Pontardawe Road,Clydach,Swansea,,SA6 5NX,01792 842494,227
6703309,St Josephs Cathedral Primary School,670,Swansea,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Caepistyll Street,Greenhill,Swansea,,SA1 2BE,01792 653609,494
6704031,Cefn Hengoed,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caldicot Road,Winch Wen,Swansea,,SA1 7HX,01792 773464,850
6704032,Olchfa School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Gower Road,Sketty,Swansea,,SA2 7AB,01792 534300,1764
6704033,Morriston Comprehensive,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Heol Maes Eglwys,Morriston,Swansea,,SA6 6NH,01792 797745,977
6704043,Pentrehafod School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pentremawr Road,Hafod,Swansea,,SA1 2NN,01792 410400,1022
6704044,Bishop Gore School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,De-La-Beche Road,Sketty,Swansea,,SA2 9AP,01792 411400,1226
6704062,Penyrheol Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Pontarddulais Road,Gorseinon,Swansea,,SA4 4FG,01792 533066,889
6704063,Gowerton Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-19),---,Cecil Road,Gowerton,Swansea,,SA4 3DL,01792 873461,1185
6704069,Bishopston Comprehensive,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,The Glebe,Bishopston,Swansea,,SA3 3JP,01792 234121,1101
6704072,Pontarddulais Comprehensive School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Caecerrig Road,Pontarddulais,Swansea,,SA4 8PD,01792 884556,814
6704074,Ysgol Gyfun Gwyr,670,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Talbot Street,Tregwyr,Abertawe,,SA4 3DD,01792 872403,1048
6704075,Birchgrove,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Birchgrove Road,Birchgrove,Swansea,,SA7 9NB,01792 535400,430
6704076,Dylan Thomas Community School,670,Swansea,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,John Street,Cockett,Swansea,,SA2 0FR,01792 610300,522
6704078,Ysgol Gyfun Gymraeg Bryn Tawe,670,Swansea,Secondary,Community,WM,Welsh medium,Secondary (ages 11-19),---,Heol Gywrosydd,Penlan,Swansea,,SA5 7BU,01792 560600,852
6704600,Bishop Vaughan School,670,Swansea,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Mynydd Garnlwyd Road,Morriston,Swansea,,SA6 7QG,01792 772006,1200
6707000,Ysgol Pen-y-Bryn,670,Swansea,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Glasbury Road,Morriston,Swansea,,SA6 7PA,01792 799064,146
6707008,Ysgol Crug Glas,670,Swansea,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Croft Street,Swansea,,,SA1 1QA,01792 652388,53
6712100,Alltwen Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Alltwen Hill,Alltwen,Pontardawe,Swansea,SA8 3AB,01792 863275,231
6712101,Blaendulais Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Seven Sisters,Neath,,,SA10 9AA,01639 700261,122
6712106,Blaengwrach Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Wenallt,Cwmgwrach,Neath,,SA11 5PP,01639 720342,160
6712110,Blaenhonddan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Bryncoch,Neath,,SA10 7PE,01639 644366,265
6712119,Baglan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Elmwood Road,Baglan,Port Talbot,,SA12 8TF,01639 813112,290
6712128,YGG Cwmllynfell,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Y Bryn,Cwmllynfell,Swansea,,SA9 2FJ,01639 830630,84
6712129,Creunant Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Crynant,Neath,,SA10 8NS,01639 750224,124
6712134,Crymlyn Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Jersey Marine,Neath,,SA10 6JJ,01792 812285,87
6712137,Cwmnedd Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639 720220,212
6712138,Cymer Afan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Margam Street,Cymmer,Port Talbot,,SA13 3EE,01639 850739,80
6712140,Godre'rgraig Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Graig Road,Godre'rgraig,Swansea,,SA9 2NY,01639 843116,153
6712142,Eastern Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Incline Row,Taibach,Port Talbot,,SA13 1TT,01639 882819,189
6712144,Gnoll Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Wellfield Avenue,Neath,,,SA11 1AQ,01639 642938,361
6712148,Glyncorrwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bridge Street,Glyncorrwg,Port Talbot,,SA13 3BB,01639 850323,90
6712149,YGG Gwaun Cae Gurwen,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,New Road,Gwaun Cae Gurwen,Ammanford,,SA18 1UN,01269 822238,176
6712150,Catwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Cadoxton,Neath,,SA10 8BL,01639 642731,215
6712155,Maesmarchog Community Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Dyffryn Cellwen,Neath,,SA10 9LB,01639 700228,113
6712158,YGG Rhosafan,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Marine Drive,Sandfields,Port Talbot,,SA12 7NN,01639 896338,381
6712161,Sandfields Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Lilian Street,Aberavon,Port Talbot,,SA12 6AJ,01639 882355,355
6712168,YGG Castell-nedd,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Heol Woodland,Castell-Nedd,,,SA11 3AL,01639 637701,419
6712173,Croeserw Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Bryn Siriol,Cymmer,Port Talbot,,SA13 3PL,01639 850265,158
6712175,Tywyn Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Channel View,Sandfields,Port Talbot,,SA12 6JF,01639 790883,458
6712178,Llangiwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Ynysmeudwy,Pontardawe,Swansea,SA8 4PJ,01792 863274,136
6712181,Tonnau Primary Community School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,School Road,Tonna,Neath,,SA11 3EJ,01639 637062,212
6712187,Ynysfach Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Resolven,Neath,,,SA11 4AB,01639 710238,179
6712191,Blaenbaglan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maes-Ty-Canol,Baglan,Port Talbot,,SA12 8YF,01639 769775,317
6712200,Rhos Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Neath Road,Rhos,Swansea,,SA8 3EB,01792 862177,150
6712202,YGG Blaendulais,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Blaendulais,Castell Nedd,,,SA10 9AA,01639 700342,107
6712203,Rhydyfro Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Waun Penlan,Pontardawe,Swansea,,SA8 3BB,01792 862200,167
6712205,YGG Cwm Nedd,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639 720530,150
6712206,Tairgwaith Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Llwyncelyn Road,Tairgwaith,Ammanford,,SA18 1UU,01269 823258,112
6712208,YGG Trebannws,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Swansea Road,Trebannws,Swansea,,SA8 4BL,01792 864004,101
6712218,YGG Pontardawe,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Alltacham Drive,Pontardawe,Abertawe,,SA8 4JR,01792 862136,336
6712221,Waunceirch Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Dwr Y Felin Road,Waunceirch,Neath,,SA10 7RW,01639 636084,221
6712230,Cilffriw Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Cilfrew,Neath,,SA10 8LF,01639 630816,233
6712231,YGG Tyle'r Ynn,671,Neath Port Talbot,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llansawel Crescent,Briton Ferry,Castell Nedd,,SA11 2UN,01639 812229,230
6712232,Coed Hirwaun Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cwrt y Carw,Margam,Port Talbot,,SA13 2TS,01656 747830,188
6712233,Coedffranc Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Stanley Road,Skewen,Neath,,SA10 6LP,01792 813504,400
6712234,Pen Afan Primary,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Western Terrace,Blaengwynfi,Port Talbot,,SA13 3YE,01639 850316,130
6712235,Awel Y Mor Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ffordd yr Ysgol,Sandfields,Port Talbot,,SA12 6TP,01639 875100,333
6712236,Crynallt Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Afan Valley Road,Cimla,Neath,,SA11 3AZ,01639 635256,456
6712237,Cwmafan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Ty'r Owen Row,Cwmavon,Port Talbot,,SA12 9BB,01639 896119,406
6712238,Central Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Theodore Road,Port Talbot,,,SA13 1SF,01639 882866,469
6712239,Abbey Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Neath Abbey,Neath,,SA10 7ND,01792 812202,440
6712240,Melin Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,MILE END ROW,Melincryddan,Neath,,SA11 2ED,01639 645414,240
6712241,Ysgol Carreg Hir,671,Neath Port Talbot,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Old Road,Briton Ferry,,Neath,SA11 2ET,01639 502892,422
6713309,St Joseph's Catholic Primary School (Neath),671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Cook Rees Avenue,Neath,,,SA11 1UR,01639 635099,139
6713310,St Joseph's Catholic Infant School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,Nursery & Infants,Roman Catholic,Water Street,Aberavon,Port Talbot,,SA12 6LF,01639 882579,141
6713311,Bryncoch CIW Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,Furzeland Drive,Bryncoch,Neath,,SA10 7UG,01639 643359,147
6713313,Alderman Davies CIW Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Church in Wales,St David's Street,Neath,,,SA11 3AA,01639 769772,365
6713314,St Therese's Catholic Primary School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,"Nursery, Infants & Juniors",Roman Catholic,Southdown Road,Sandfields,Port Talbot,,SA12 7HL,01639 882797,229
6713316,St Joseph's Catholic Junior School,671,Neath Port Talbot,Primary,Voluntary aided,EM,English medium,Juniors,Roman Catholic,Nobel Avenue,Port Talbot,,,SA12 6YN,01639 769743,157
6714064,Cefn Saeson Comprehensive School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Afan Valley Road,Cimla,Neath,,SA11 3TA,01639 791300,778
6714065,Cwmtawe Community School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Ffordd Parc Ynysderw,Pontardawe,Swansea,,SA8 4EG,01792 863200,1228
6714066,Llangatwg Community School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Main Road,Cadoxton,Neath,,SA10 8DB,01639 634700,764
6714067,Dwr Y Felin Comprehensive School,671,Neath Port Talbot,Secondary,Community,EM,English medium,Secondary (ages 11-16),---,Dwr Y Felin Road,Neath,,,SA10 7RE,01639 635161,1126
6714601,St Joseph's RC School and 6th Form Centre,671,Neath Port Talbot,Secondary,Voluntary aided,EM,English medium,Secondary (ages 11-19),Roman Catholic,Newton Avenue,Aberavon,Port Talbot,,SA12 6EY,01639 884305,866
6715500,Ysgol Bae Baglan,671,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---, SEAWAY PARADE,Sandfields,,PORT TALBOT,SA12 7BL,01639 508540,1491
6715501,Ysgol Gymraeg Ystalyfera Bro Dur,671,Neath Port Talbot,Middle,Community,WM,Welsh medium,Middle (ages 3-19),---,Glan Yr Afon,Ystalyfera,Swansea,,SA9 2DY,01639 842129,1438
6715502,Ysgol Cwm Brombil,671,Neath Port Talbot,Middle,Community,EM,English medium,Middle (ages 3-16),---,Bertha Road,,Margam,Port Talbot,SA13 2AN,01639 760110,1305
6717006,Ysgol Maes Y Coed,671,Neath Port Talbot,Special,Not Applicable,NA,Not applicable,Special (with post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639 643648,106
6717008,Ysgol Hendrefelin,671,Neath Port Talbot,Special,Community,NA,Not applicable,Special (without post-16 provision),---,Heol Hendre,Bryncoch,Neath,,SA10 7TY,01639 642786,150
6722046,Abercerdin Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Kenry Street,Evanstown,Gilfach Goch,Bridgend,CF39 8RS,01656 815535,179
6722051,Betws Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Bradford,Bettws,Bridgend,,CF32 8TB,01656 815650,228
6722055,Blaengarw Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Station Street,Blaengarw,Pontycymer,Bridgend,CF32 8BA,01656 815550,182
6722086,Brynmenyn Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Yr Ysgol,Tondu,Bridgend,,CF32 9LA,01656 815850,372
6722090,Bryntirion Infants,672,Bridgend,Primary,Community,EM,English medium,Nursery & Infants,---,Bryngolau,Bryntirion,Bridgend,,CF31 4DD,01656 815860,147
6722103,Cefn Cribwr Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Cefn Road,Cefn Cribbwr,Bridgend,,CF32 0AW,01656 740293,183
6722109,Coety Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol-yr-Ysgol,Coity,Bridgend,,CF35 6DH,01656 754990,463
6722117,Cwmfelin Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Maesteg Road,Cwmfelin,Maesteg,Bridgend,CF34 9LD,01656 815525,220
6722122,Ffaldau,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Albany Road,Pontycymmer,Bridgend,,CF32 8HW,01656 815870,171
6722129,Garth Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Mission Road,Garth,Maesteg,Bridgend,CF34 0ND,01656 815590,201
6722146,Coychurch Llangrallo Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Main Road,Coychurch,Bridgend,,CF35 5HN,01656 815880,153
6722149,Llangynwyd Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Heol Cadrawd,Llangynwyd,Maesteg,Bridgend,CF34 9TE,01656 733166,107
6722172,Nantyffyllon Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Garnwen Terrace,Nantyffyllon,Maesteg,Bridgend,CF34 0ET,01656 815740,260
6722178,Nantymoel Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Gwendoline Street,Nantymoel,Bridgend,,CF32 7PL,01656 815670,186
6722185,Newton Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,New Road,Porthcawl,Bridgend,,CF36 5BL,01656 815780,224
6722194,Nottage County Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Suffolk Place,Porthcawl,Bridgend,,CF36 3ED,01656 815540,432
6722220,Pen-Y-Bont Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Minerva Street,Bridgend,,,CF31 1TD,01656 754860,354
6722227,Pil Primary,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Pyle Inn Way,Pyle,Bridgend,,CF33 6AB,01656 815630,217
6722232,Plasnewydd Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Castle Street,Maesteg,Bridgend,,CF34 9UN,01656 815770,263
6722256,Trelales Primary School,672,Bridgend,Primary,Community,EM,English medium,"Nursery, Infants & Juniors",---,Well Street,Laleston,Bridgend,,CF32 0LF,01656 815610,225
6722259,Ygg Cynwyd Sant,672,Bridgend,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Pen-Yr-Ysgol,Maesteg,Bridgend,,CF34 9LN,01656 734235,290
